scorer,,,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel
labeled-data,1,img0247.png,292.71970455814966,229.6706073462907,348.13711738929635,226.9492165376183,283.31853631000865,229.91800651071543,360.5070756105344,226.70181737319353
labeled-data,1,img0264.png,293.4619020514239,229.17580901744117,348.3845165537211,225.46482155106975,283.56593547443345,230.16540567514022,360.25967644610967,225.95961987991925
labeled-data,1,img0294.png,295.441095366822,229.17580901744117,349.6215123758449,226.70181737319353,284.060733803283,231.15500233283925,361.49667226823345,226.45441820876877
labeled-data,1,img0297.png,294.9462970379725,229.91800651071543,349.6215123758449,227.44401486646782,283.0711371455839,231.89719982611354,361.2492731038087,226.9492165376183
labeled-data,1,img0310.png,297.91508701106966,229.6706073462907,353.5798990066411,226.70181737319353,284.060733803283,231.64980066168877,361.49667226823345,226.70181737319353
labeled-data,1,img0327.png,297.17288951779534,229.17580901744117,351.600705691243,226.207019044344,284.060733803283,230.16540567514022,360.0122772816849,225.95961987991925
labeled-data,1,img0344.png,296.6780911889458,229.6706073462907,352.59030234894203,226.207019044344,284.5555321321325,230.16540567514022,361.0018739393839,225.95961987991925
labeled-data,1,img0345.png,297.17288951779534,229.6706073462907,352.8377015133668,226.45441820876877,282.8237379811592,231.15500233283925,361.0018739393839,225.95961987991925
labeled-data,1,img0371.png,293.70930121584865,231.15500233283925,348.13711738929635,227.93881319531735,282.8237379811592,232.63939731938783,360.7544747749592,227.19661570204306
labeled-data,1,img0463.png,296.4306920245211,232.1445989905383,351.10590736239345,228.92840985301638,284.80293129655723,233.38159481266212,359.0226806239858,228.43361152416688
labeled-data,1,img0465.png,296.1832928600963,232.8867964838126,351.35330652681824,229.17580901744117,284.060733803283,234.37119147036117,360.25967644610967,228.18621235974211
labeled-data,1,img0509.png,292.9671037225744,230.41280483956496,348.13711738929635,227.19661570204306,282.8237379811592,231.89719982611354,360.7544747749592,227.19661570204306
labeled-data,1,img0551.png,289.7509145850525,229.17580901744117,346.405323238323,225.46482155106975,283.0711371455839,231.402401497264,360.0122772816849,226.207019044344
labeled-data,1,img0592.png,290.49311207832676,228.92840985301638,346.9001215671725,225.46482155106975,283.56593547443345,231.15500233283925,360.0122772816849,226.45441820876877
labeled-data,1,img0626.png,290.49311207832676,229.17580901744117,346.6527224027477,225.71222071549448,282.5763388167344,232.39199815496306,360.7544747749592,227.19661570204306
labeled-data,1,img0645.png,290.74051124275155,228.18621235974211,346.9001215671725,224.72262405779543,283.56593547443345,231.402401497264,361.0018739393839,226.207019044344
labeled-data,1,img0710.png,292.71970455814966,231.15500233283925,347.39491989602203,227.19661570204306,282.5763388167344,233.13419564823735,361.0018739393839,227.44401486646782
labeled-data,1,img0717.png,292.22490622930013,231.402401497264,347.39491989602203,227.19661570204306,283.31853631000865,232.8867964838126,360.0122772816849,227.6914140308926
labeled-data,1,img0738.png,292.47230539372487,231.402401497264,347.1475207315973,227.6914140308926,283.56593547443345,232.63939731938783,360.25967644610967,227.6914140308926
labeled-data,1,img0784.png,292.9671037225744,233.38159481266212,347.88971822487156,229.91800651071543,282.8237379811592,235.36078812806022,359.5174789528354,229.6706073462907
labeled-data,1,img0800.png,297.91508701106966,232.1445989905383,352.8377015133668,228.92840985301638,283.81333463885824,234.12379230593638,360.5070756105344,228.43361152416688
labeled-data,1,img0817.png,297.17288951779534,232.1445989905383,351.10590736239345,228.18621235974211,285.54512878983155,233.13419564823735,359.0226806239858,227.6914140308926
labeled-data,1,img0837.png,295.68849453124676,231.64980066168877,350.6111090335439,227.93881319531735,284.060733803283,232.63939731938783,359.5174789528354,227.6914140308926
labeled-data,1,img0855.png,294.6988978735477,233.13419564823735,348.8793148825706,229.17580901744117,283.56593547443345,233.38159481266212,359.2700797884106,228.92840985301638
labeled-data,1,img0878.png,290.49311207832676,230.41280483956496,346.405323238323,226.70181737319353,283.0711371455839,233.38159481266212,360.25967644610967,228.43361152416688
labeled-data,1,img0887.png,291.4827087360258,230.16540567514022,347.39491989602203,226.9492165376183,283.0711371455839,233.62899397708688,359.76487811726014,227.44401486646782
labeled-data,1,img0891.png,291.2353095716011,229.6706073462907,347.1475207315973,225.71222071549448,282.08154048788487,233.38159481266212,359.76487811726014,227.6914140308926
labeled-data,1,img0919.png,292.22490622930013,231.402401497264,346.405323238323,227.44401486646782,283.56593547443345,233.13419564823735,359.0226806239858,227.6914140308926
labeled-data,1,img0925.png,291.7301079004506,231.89719982611354,346.6527224027477,228.18621235974211,282.8237379811592,233.38159481266212,358.7752814595611,227.6914140308926
labeled-data,1,img0938.png,293.2145028869992,229.91800651071543,348.6319157181458,226.70181737319353,283.0711371455839,232.39199815496306,360.0122772816849,226.70181737319353
labeled-data,1,img0949.png,293.2145028869992,229.6706073462907,348.3845165537211,226.9492165376183,285.29772962540676,230.90760316841448,361.0018739393839,226.9492165376183
labeled-data,1,img0958.png,293.4619020514239,230.41280483956496,349.1267140469954,227.93881319531735,284.80293129655723,232.1445989905383,360.25967644610967,227.6914140308926
labeled-data,1,img0970.png,294.6988978735477,233.87639314151164,348.6319157181458,230.16540567514022,283.56593547443345,234.8659897992107,360.25967644610967,230.66020400398975
labeled-data,2,img0035.png,306.1692858902746,302.5607494336811,365.7784482031535,301.725106971351,293.63464895532337,302.5607494336811,376.08470523855783,301.44655948390766
labeled-data,2,img0045.png,301.43397860373744,291.4188499359467,357.42202357985275,291.14030244850335,290.57062659344643,291.69739742339004,369.6781130273606,292.8115873731635
labeled-data,2,img0069.png,320.3872353943046,203.3268500405323,383.23072333715925,203.3268500405323,307.51304862823366,203.9814697066037,393.2682248835874,203.54505659588943
labeled-data,2,img0085.png,319.2005785355251,201.7381829968706,384.84356749043985,199.30696118372558,306.5582251071712,202.71067172212858,396.2703100122213,200.52257209029807
labeled-data,2,img0089.png,324.5492665244441,205.14189353527357,389.94913329804433,203.44003826607207,311.90691309609014,206.60062662316057,401.1327536385113,205.38501571658804
labeled-data,2,img0125.png,314.5812570905496,215.10990296916802,379.25175732020637,212.67868115602303,302.9113923874537,216.56863605705502,392.1372329298748,213.164925518652
labeled-data,2,img0169.png,312.87940182134815,218.027369144942,378.52239077626285,216.082391694426,299.5076818490507,219.486102232829,387.51791148489934,214.86678078785351
labeled-data,2,img0222.png,307.28759165111467,221.18795750203049,372.93058060602937,217.7842469636275,296.8333378545912,221.431079683345,385.08668967175436,217.7842469636275
labeled-data,2,img0262.png,306.0719807445422,222.40356840860298,371.9580918807714,218.7567356888855,294.4021160414462,222.889812771232,383.1417122212383,218.2704913262565
labeled-data,2,img0292.png,302.4251480248247,224.83479022174797,369.5268700676264,221.18795750203049,290.9984055030433,225.07791240306247,380.71049040809334,220.70171313940148
labeled-data,2,img0299.png,305.0994920192842,223.37605713386097,371.2287253368279,218.7567356888855,291.4846498656722,224.83479022174797,380.95361258940784,218.9998578702
labeled-data,2,img0352.png,295.61772694801874,226.05040112832046,362.2332046281914,221.431079683345,282.7322513383503,227.02288985357848,375.3618024191744,219.7292244141435
labeled-data,2,img0365.png,291.72777204698673,224.34854585911899,358.34324972715945,219.2429800515145,281.27351825046327,224.83479022174797,373.4168249686584,217.7842469636275
labeled-data,2,img0375.png,290.51216114041426,224.5916680404335,357.613883183216,218.7567356888855,280.0579073438908,226.29352330963496,372.2012140620859,218.027369144942
labeled-data,2,img0425.png,294.88836040407523,226.77976767226397,360.77447154030443,220.70171313940148,281.5166404317778,228.23850076015094,370.2562366115699,219.486102232829
labeled-data,2,img0473.png,288.0809393272693,232.12845566118295,355.42578355138545,225.07791240306247,278.8422964373183,233.10094438644094,367.33877043579594,224.10542367780448
labeled-data,2,img0533.png,293.18650513487376,229.45411166672346,359.07261627110296,222.1604462272885,278.8422964373183,230.66972257329596,368.7975035236829,220.94483532071598
labeled-data,2,img0585.png,292.21401640961574,228.23850076015094,357.85700536453044,220.70171313940148,278.35605207468933,230.42660039198145,369.76999224894087,220.70171313940148
labeled-data,2,img0601.png,295.13148258538973,226.53664549094947,361.01759372161894,219.972346595458,281.0303960691488,227.99537857883647,373.17370278734387,219.972346595458
labeled-data,2,img0602.png,295.37460476670424,226.29352330963496,360.77447154030443,219.972346595458,280.3010295252053,228.72474512277995,373.6599471499729,219.7292244141435
labeled-data,2,img0670.png,289.29655023384174,227.99537857883647,355.66890573269995,221.431079683345,277.8698077120603,229.94035602935244,369.5268700676264,220.458590958087
labeled-data,2,img0728.png,288.0809393272693,231.39908911723944,355.18266137007095,224.34854585911899,280.5441517065198,231.15596693592494,369.5268700676264,223.13293495254646
labeled-data,2,img0781.png,287.35157278332576,219.7292244141435,354.210172644813,214.86678078785351,277.1404411681168,220.2154687767725,369.76999224894087,213.40804769996652
labeled-data,2,img0786.png,286.86532842069676,220.458590958087,354.4532948261275,215.35302515048252,277.6266855307458,220.70171313940148,369.5268700676264,214.623658606539
labeled-data,2,img0797.png,286.62220623938225,222.889812771232,352.50831737561145,217.7842469636275,276.8973189868023,223.37605713386097,369.76999224894087,217.2980026009985
labeled-data,2,img0804.png,285.4065953328098,223.86230149648998,352.50831737561145,218.2704913262565,277.3835633494313,223.86230149648998,369.2837478863119,217.7842469636275
labeled-data,2,img0908.png,293.9158716788172,225.32103458437697,360.5313493589899,219.486102232829,279.5716629812618,226.53664549094947,370.0131144302554,218.7567356888855
labeled-data,2,img0936.png,288.5671836898983,228.96786730409445,353.9670504634985,221.917324045974,279.0854186186328,229.45411166672346,370.0131144302554,221.6742018646595
labeled-data,2,img1088.png,287.35157278332576,228.72474512277995,353.723928282184,222.1604462272885,277.3835633494313,229.69723384803797,367.5818926171104,221.917324045974
labeled-data,2,img1136.png,288.5671836898983,233.34406656775542,354.4532948261275,226.53664549094947,279.0854186186328,234.07343311169893,367.09564825448143,225.56415676569148
labeled-data,2,img1243.png,292.21401640961574,233.34406656775542,359.31573845241746,226.29352330963496,281.0303960691488,234.80279965564245,370.2562366115699,225.32103458437697
labeled-data,2,img1323.png,288.0809393272693,233.10094438644094,354.9395391887565,226.29352330963496,278.1129298933748,234.31655529301344,367.09564825448143,224.5916680404335
labeled-data,2,img1404.png,296.5902156732767,229.69723384803797,362.47632680950596,223.13293495254646,280.7872738878343,231.64221129855395,372.44433624340036,222.64669058991748
labeled-data,2,img1430.png,293.18650513487376,228.96786730409445,360.2882271776754,223.13293495254646,278.8422964373183,231.15596693592494,370.7424809741989,222.40356840860298
labeled-data,2,img1640.png,289.53967241515625,231.15596693592494,356.641394457958,224.34854585911899,281.7597626130923,232.37157784249743,372.93058060602937,224.83479022174797
labeled-data,2,img1711.png,287.35157278332576,235.04592183695692,353.4808061008695,228.48162294146545,278.8422964373183,236.26153274352941,367.5818926171104,227.50913421620746
labeled-data,2,img1754.png,292.70026077224475,231.64221129855395,359.31573845241746,225.56415676569148,278.59917425600383,233.34406656775542,369.5268700676264,224.34854585911899
labeled-data,2,img1821.png,293.18650513487376,234.07343311169893,360.0451049963609,226.29352330963496,282.4891291570358,234.07343311169893,370.7424809741989,225.07791240306247
labeled-data,2,img1869.png,288.5671836898983,231.64221129855395,354.69641700744194,224.10542367780448,278.8422964373183,231.88533347986845,370.2562366115699,223.61917931517547
labeled-data,2,img1884.png,287.8378171459548,231.88533347986845,354.9395391887565,224.5916680404335,277.8698077120603,232.61470002381193,370.4993587928844,224.83479022174797
labeled-data,2,img1973.png,292.94338295355925,234.07343311169893,358.82949408978845,227.02288985357848,280.3010295252053,235.53216619958593,370.4993587928844,225.32103458437697
labeled-data,2,img2134.png,291.72777204698673,237.47714365010194,357.85700536453044,230.66972257329596,281.5166404317778,238.6927545566744,368.7975035236829,228.48162294146545
labeled-data,2,img2182.png,263.2833283762856,237.47231962795104,325.52707029777406,230.9546503168004,257.4174259962501,237.47231962795104,346.38361209345607,227.04404873011003
labeled-data,2,img2214.png,296.8493253287113,234.2134849723757,364.30720269912024,227.69581566122508,283.8139867064101,235.51701883460584,374.73547359696124,227.36993219566756
labeled-data,2,img2250.png,302.3893442431894,233.2358345757031,369.1954546824832,228.0216991267826,288.050471758658,235.51701883460584,380.6013759769968,226.7181652645525
labeled-data,2,img2274.png,296.19755839759625,232.25818417903054,362.6777853713326,226.06639833343743,286.4210544308703,232.90995111014558,379.2978421147667,225.7405148678799
labeled-data,2,img2385.png,298.15285919094146,233.56171804126063,364.30720269912024,227.69581566122508,284.13987017196763,234.53936843793326,374.4095901314037,226.06639833343743
labeled-data,2,img2402.png,298.478742656499,234.53936843793326,365.28485309579287,228.34758259234016,285.76928749975525,235.1911353690483,376.3648909247489,228.0216991267826
labeled-data,2,img2535.png,294.5681410698086,233.2358345757031,361.04836804354494,226.7181652645525,281.5328024475074,234.53936843793326,374.0837066658462,225.7405148678799
labeled-data,2,img2577.png,292.61284027646343,232.25818417903054,359.09306725019974,226.06639833343743,281.2069189819498,234.2134849723757,371.1507554758284,226.06639833343743
labeled-data,2,img2595.png,293.2646072075785,232.25818417903054,360.07071764687237,226.392281798995,280.2292685852772,233.56171804126063,373.10605626917356,226.06639833343743
labeled-data,2,img2748.png,286.7469378964279,235.51701883460584,354.85658219795187,228.34758259234016,277.622200860817,235.84290230016336,369.8472216135983,227.69581566122508
labeled-data,2,img2778.png,287.0728213619854,238.1240865590661,354.53069873239434,231.6064172479155,278.273967791932,239.75350388685376,370.49898854471337,230.30288338568533
labeled-data,2,img2782.png,288.050471758658,238.4499700246236,354.53069873239434,230.9546503168004,278.9257347230471,239.1017369557387,369.8472216135983,230.62876685124286
labeled-data,2,img2848.png,304.34464503653453,227.04404873011003,369.52133814804074,223.45933060897718,291.6351898797908,227.69581566122508,383.53432716701457,220.5263794189594
